assetid,id
DL-UM-17281,66cbcb15-d7b7-5f83-95f7-87d88c169f85
DL-UM-17282,31bc156d-6caf-5a10-9326-46ff0af14d09
DL-UM-17284,d7b85119-4c83-5971-ad88-78adb02ae2a1
DL-UM-17314,c9e8e30d-d22b-5da4-a5d7-cc1f27579057
DL-UM-17604,5b140492-763d-55ba-b0dd-e528c8349389
DL-UM-17605,5599bcec-25f4-5698-847d-a2b35aaec428
DL-UM-18234,eb668e98-f6b5-51b9-aa3f-05c588ef2954
DL-UM-18235,9ada2145-aaf7-550e-81c9-e1a6502ab675
DL-UM-18236,dda75b1e-93e4-5cef-8a64-da26804d5b23
DL-UM-18271,a9228640-2e16-5644-a3cb-eb6c21ac7d00
DL-UM-18389,6668f835-abad-50df-9187-0b213b0e74cf
DL-UM-18390,ea7e7f7a-d7ee-5d50-8063-e2985f77c7c5
DL-UM-18392,e546c8fd-0770-529c-9906-eadccb52653b
DL-UM-18420,2ea4228e-83e2-5ff7-a92e-836d83660ee7
DL-UM-18423,293f1cac-4a34-5c58-a258-eecb84b97fad
DL-UM-18425,9af47536-146e-5d08-9728-840e0c264c17
DL-UM-18426,e999073f-3311-52b6-b291-8a6db43aa607
DL-UM-18471,e4f5577f-c975-5729-af70-26b99b6ca203
DL-UM-18472,8eeb1465-3d21-5a0c-941d-56e073cbf7be
DL-UM-18473,9a53984c-be7f-5af8-af1d-066f7a95f31b
DL-UM-19392,2de81652-c435-5a5f-aebc-001aa4d957bf
DL-UM-20781,d1544297-7ff6-587b-a1ce-2650f860e278
DL-UM-20908,522175ce-376c-5165-8b42-c004ecc7957d
DL-UM-20931,0e29c952-557e-5cb2-8ca2-44e2dcf7a604
DL-UM-21925,70681449-c5a1-5a87-bbcd-aa618a5d190e
DL-UM-21926,3ec7b6a5-8d96-5a64-ac8b-2c1cd047fcce
DL-UM-21927,b8c08b6f-d6c2-531d-b13d-f3cff00dd08e
DL-UM-21929,bb0a1a26-02fa-53da-9d2a-3f37dff0d88d
DL-UM-21931,ed11dd05-a1c6-56c0-a617-71a4a027675e
DL-UM-21932,f66de001-f8c5-5b95-89f6-fd0fbc7aeaf1
DL-UM-21933,45b961bf-d03d-553a-a752-c6fc56380001
DL-UM-21934,a7b02c33-4263-572b-809a-c5ddbaec0391
DL-UM-21936,8d0b8019-e868-5e00-b454-66135dae0a16
DL-UM-21943,b79f9e57-415b-589a-a0a8-b4d319235a98
DL-UM-21945,f98d610f-0d49-5ee9-a071-01825a06ef4b
DL-UM-21947,49b0a270-875c-5b0b-970e-82b9f48fe445
DL-UM-23130,d477cb07-6a8c-5d96-8181-f02ee312c323
DL-UM-7134,604ffd02-97ea-5ed2-b434-29affd6b6428
DL-UM-7139,59960dc7-d545-5daf-9488-37a898d7d8ab
DL-UM-8291,bbdb8100-e0c5-5f29-be28-1726c148324f
DL-UM-8293,89414eaf-6601-553b-ba35-19cef91c766d
DL-UM-8294,2bc4ff6e-e313-5873-8389-29f536c331f1
DL-UM-8295,9c69f621-c49e-59c5-8f56-c2f92a243e2b
DST-LD-01,5ad16f60-6192-5013-b66f-1e770e410e85
DST-LD-02,74989054-66dc-5312-aeec-babe6383a833
DST-LD-03,32b8d50e-4202-537b-ba98-6c1fdb0849bf
DST-LD-04,936a1c56-8e77-5cc2-bcc9-972ddf9d5884
DST-LD-05,14d9cbe9-4648-5747-a1cb-68a68f682484
DST003,ee03175a-8c68-50cf-b045-33a2ed90bf12
DST004,81de075b-ace7-5991-aee3-b5efa02a0a86
DST013,b5a6f1b1-7bf9-587f-a99a-bd1525fcfe94
DST014,fc3baf7f-a995-5530-9d98-0f77f9adcd7e
DST016,a38f2ed8-d4e9-5acc-9556-268fb402c5f0
DST021,a0f325fe-a5c0-5b03-b560-5ea8e1426204
DST025,9aa69630-3d7f-5c41-bc21-417337e4722a
DST026,b2fef5a2-bb65-5111-af52-f0d6a3ee82b3
DST029,6f6d7429-9c6e-5cd6-8b87-d0a9ea9f2f31
